HC73I,0.27,0.35,0.41,1.17,1.38,2.15,2.42,2.5,3.21,4.41,4.56,5.05,5.35,5.51,6.12,6.28,6.52,9.18,10.1,10.58,11.15,11.29,11.47,11.56,11.57,12.12,12.27,13.18
HC74I,0.3,0.39,0.53,1.43,2,2.53,3.36,3.42,4.22,5.45,6.37,6.49,7.23,7.34,8,8.22,9.09,11.41,12.37,13.21,13.5,13.57,14.18,14.28,14.29,14.43,15,15.52
HC75I,0.24,0.36,0.45,1.02,1.23,2.17,3.05,3.14,3.48,4.46,5.36,5.44,6.15,6.4,7.08,7.27,8.02,11.43,12.53,13.47,14.21,14.35,14.54,15.02,15.05,15.2,15.52,17.29
HC77I,0.38,0.49,0.51,1.42,1.58,4.01,5.01,5.08,5.38,7.01,7.16,7.26,8.09,8.24,8.44,9.39,10.03,12.27,13.34,14.3,15.05,15.27,15.53,16.08,16.11,16.29,16.56,18.34
HC78I,0.27,0.32,0.4,1.14,1.32,2.04,2.26,2.33,2.55,3.38,4.11,4.21,4.46,4.59,5.18,5.36,6.03,7.45,8.2,9.07,9.21,9.32,9.5,9.56,9.58,10.09,10.32,11.11
HC79I,0.26,0.39,0.44,0.54,1.32,2.2,2.44,2.52,3.39,4.58,5.25,5.34,6.14,6.32,6.56,7.47,8.05,10.41,11.44,12.51,13.11,13.22,14.01,14.1,14.11,14.19,14.51,17.35
HC81I,0.46,1.02,1.08,1.29,1.44,3.42,4.18,4.22,4.53,6.29,8.24,8.28,9.07,9.3,9.44,11.25,11.56,14.32,17.22,18.11,18.28,18.43,19.04,19.39,19.44,19.55,20.06,21.11
HC82I,0.34,1.01,1.13,2.06,2.11,3.16,3.38,3.44,4.34,5.39,6.22,6.38,7.27,7.46,8.23,9.04,9.38,12.1,12.49,14.19,14.47,15.04,15.39,15.51,15.52,16.09,16.48,17.46
HC83I,0.3,0.35,0.43,1.21,1.37,2.13,2.44,2.56,3.23,4.29,4.54,5.01,5.32,5.46,6.15,6.33,7.04,9.02,9.48,10.28,10.55,11.13,11.37,11.57,11.43,11.57,12.19,13.17
HC84I,0.37,0.53,0.58,1.36,1.52,2.41,3.21,3.25,4.49,6.06,6.36,6.49,7.21,7.41,8,8.16,8.51,14.32,14.53,16.15,16.38,16.51,17.16,17.49,17.54,18.02,18.23,19.34
HC85I,0.31,0.43,0.52,1.15,1.27,2.07,2.57,3.07,3.45,4.54,5.46,5.55,6.25,6.44,7.26,7.46,8.15,11.34,13.05,13.38,14.17,14.36,15.09,15.23,15.26,15.42,16.02,16.58
