Values,Metric,Pose,Group
0.9571827992100153,Distance,PowerBars,TD Control
0.9733675610031136,Angle,PowerBars,TD Control
0.955488586704711,Orientation,PowerBars,TD Control
0.8915589898350589,Distance,PowerBars,TD Control
0.8833347252119746,Angle,PowerBars,TD Control
0.9065847377585077,Orientation,PowerBars,TD Control
0.9777759688632124,Distance,PowerBars,TD Control
0.9855373208650727,Angle,PowerBars,TD Control
0.9594210257341734,Orientation,PowerBars,TD Control
0.9682384352044999,Distance,Muscles,Adult Control 1
0.9447232844790092,Angle,Muscles,Adult Control 1
0.9049001671181052,Orientation,Muscles,Adult Control 1
0.9495378174531255,Distance,Muscles,Adult Control 1
0.9167036474259567,Angle,Muscles,Adult Control 1
0.9104744964546159,Orientation,Muscles,Adult Control 1
0.9339820177151574,Distance,Muscles,Adult Control 1
0.9278144825350692,Angle,Muscles,Adult Control 1
0.9561791702015401,Orientation,Muscles,Adult Control 1
0.9628893949034598,Distance,Muscles,Adult Control 1
0.9148439132596331,Angle,Muscles,Adult Control 1
0.8876299928029449,Orientation,Muscles,Adult Control 1
0.9508011846123839,Distance,Muscles,Adult Control 1
0.9820670355231025,Angle,Muscles,Adult Control 1
0.9803039086298109,Orientation,Muscles,Adult Control 1
0.9719792540596851,Distance,Muscles,Adult Control 1
0.933875583442219,Angle,Muscles,Adult Control 1
0.9518958864969489,Orientation,Muscles,Adult Control 1
0.9147797978543194,Distance,Muscles,Adult Control 1
0.9277030645956839,Angle,Muscles,Adult Control 1
0.9363523800647828,Orientation,Muscles,Adult Control 1
0.908456637158429,Distance,Muscles,Adult Control 1
0.9133921117996429,Angle,Muscles,Adult Control 1
0.9649498490981314,Orientation,Muscles,Adult Control 1
0.9497909768597629,Distance,Muscles,Adult Control 1
0.9486566877954001,Angle,Muscles,Adult Control 1
0.9465186814437911,Orientation,Muscles,Adult Control 1
0.919199444702121,Distance,Muscles,Adult Control 1
0.8617266292337811,Angle,Muscles,Adult Control 1
0.9808955701744118,Orientation,Muscles,Adult Control 1
0.8895466666952719,Distance,Muscles,Adult Control 1
0.9560295863700897,Angle,Muscles,Adult Control 1
0.9711974482063235,Orientation,Muscles,Adult Control 1
0.9600946259978997,Distance,Muscles,Adult Control 1
0.9436626003927658,Angle,Muscles,Adult Control 1
0.9638508947062135,Orientation,Muscles,Adult Control 1
0.8574998755833534,Distance,Muscles,Adult Control 1
0.9070560419467519,Angle,Muscles,Adult Control 1
0.9352947804653513,Orientation,Muscles,Adult Control 1
0.9025378807180426,Distance,Muscles,Adult Control 1
0.9531507485580416,Angle,Muscles,Adult Control 1
0.9240052812476023,Orientation,Muscles,Adult Control 1
0.9602254444222604,Distance,Muscles,Adult Control 1
0.9281526238441896,Angle,Muscles,Adult Control 1
0.9806688654719831,Orientation,Muscles,Adult Control 1
0.9441131996832324,Distance,Muscles,Adult Control 1
0.926589397452646,Angle,Muscles,Adult Control 1
0.9605110008991128,Orientation,Muscles,Adult Control 1
0.9338506251124827,Distance,Muscles,Adult Control 1
0.9211218957004177,Angle,Muscles,Adult Control 1
0.9378474929928722,Orientation,Muscles,Adult Control 1
0.9020238170824015,Distance,PowerBars,Adult Control 1
0.9439560040614579,Angle,PowerBars,Adult Control 1
0.9295456155688043,Orientation,PowerBars,Adult Control 1
0.9588000927094336,Distance,PowerBars,Adult Control 1
0.9764245774470519,Angle,PowerBars,Adult Control 1
0.8916724689579356,Orientation,PowerBars,Adult Control 1
0.9175227920895012,Distance,PowerBars,Adult Control 1
0.8678158280604513,Angle,PowerBars,Adult Control 1
0.948882021485361,Orientation,PowerBars,Adult Control 1
0.9451523585786792,Distance,PowerBars,Adult Control 1
0.975105011841278,Angle,PowerBars,Adult Control 1
0.9481922843443777,Orientation,PowerBars,Adult Control 1
0.905151495287892,Distance,PowerBars,Adult Control 1
0.9022173191948477,Angle,PowerBars,Adult Control 1
0.9680125342375447,Orientation,PowerBars,Adult Control 1
0.9569257515396374,Distance,PowerBars,Adult Control 1
0.9258216222849391,Angle,PowerBars,Adult Control 1
0.9518369022706262,Orientation,PowerBars,Adult Control 1
0.9094420367466605,Distance,PowerBars,Adult Control 1
0.897111127925587,Angle,PowerBars,Adult Control 1
0.9161315607967956,Orientation,PowerBars,Adult Control 1
0.9202299341711675,Distance,PowerBars,Adult Control 1
0.8842057422245806,Angle,PowerBars,Adult Control 1
0.9814921763935271,Orientation,PowerBars,Adult Control 1
0.9499303745825829,Distance,PowerBars,Adult Control 1
0.9710584250337478,Angle,PowerBars,Adult Control 1
0.9583558654369614,Orientation,PowerBars,Adult Control 1
0.9327816246996881,Distance,PowerBars,Adult Control 1
0.94810187160253,Angle,PowerBars,Adult Control 1
0.9441263132558826,Orientation,PowerBars,Adult Control 1
0.9122830138267974,Distance,PowerBars,Adult Control 1
0.9330097712514456,Angle,PowerBars,Adult Control 1
0.9567733084066088,Orientation,PowerBars,Adult Control 1
0.9479133146054928,Distance,PowerBars,Adult Control 1
0.945944826898184,Angle,PowerBars,Adult Control 1
0.955860861690806,Orientation,PowerBars,Adult Control 1
0.8574408536148398,Distance,PowerBars,Adult Control 1
0.9877030786859009,Angle,PowerBars,Adult Control 1
0.9250841587829794,Orientation,PowerBars,Adult Control 1
0.9107357040237304,Distance,PowerBars,Adult Control 1
0.963086992391361,Angle,PowerBars,Adult Control 1
0.8888366797620426,Orientation,PowerBars,Adult Control 1
0.9628482733316002,Distance,PowerBars,Adult Control 1
0.9669192020665225,Angle,PowerBars,Adult Control 1
0.9584429152110123,Orientation,PowerBars,Adult Control 1
0.900313263266168,Distance,PowerBars,Adult Control 1
0.8965991086398297,Angle,PowerBars,Adult Control 1
0.9233912382850404,Orientation,PowerBars,Adult Control 1
0.9519556854363702,Distance,PowerBars,Adult Control 1
0.9879193089870928,Angle,PowerBars,Adult Control 1
0.9461636339509025,Orientation,PowerBars,Adult Control 1
0.9684477491865822,Distance,Muscles,Adult Control 2
0.9497337881560233,Angle,Muscles,Adult Control 2
0.9347121475808546,Orientation,Muscles,Adult Control 2
0.9338886533255406,Distance,Muscles,Adult Control 2
0.9678951459167733,Angle,Muscles,Adult Control 2
0.9671769363187237,Orientation,Muscles,Adult Control 2
0.9684477491865822,Distance,Muscles,Adult Control 2
0.9497337881560233,Angle,Muscles,Adult Control 2
0.9347121475808546,Orientation,Muscles,Adult Control 2
0.9476842455626389,Distance,Muscles,Adult Control 2
0.9601213303719809,Angle,Muscles,Adult Control 2
0.9295369906026321,Orientation,Muscles,Adult Control 2
0.9685784326637377,Distance,Muscles,Adult Control 2
0.9474581696736089,Angle,Muscles,Adult Control 2
0.9748567653525632,Orientation,Muscles,Adult Control 2
0.9548438829225219,Distance,Muscles,Adult Control 2
0.9776507557610401,Angle,Muscles,Adult Control 2
0.9150931088367077,Orientation,Muscles,Adult Control 2
0.9638802907571506,Distance,Muscles,Adult Control 2
0.945902827715702,Angle,Muscles,Adult Control 2
0.9384026222835238,Orientation,Muscles,Adult Control 2
0.9828997419229162,Distance,Muscles,Adult Control 2
0.9638178076159579,Angle,Muscles,Adult Control 2
0.9593534659256082,Orientation,Muscles,Adult Control 2
0.9403672509994913,Distance,Muscles,Adult Control 2
0.8511271388435089,Angle,Muscles,Adult Control 2
0.9778571277807031,Orientation,Muscles,Adult Control 2
0.9483356554950847,Distance,Muscles,Adult Control 2
0.9156735983830928,Angle,Muscles,Adult Control 2
0.9747802339955312,Orientation,Muscles,Adult Control 2
0.917886178655855,Distance,Muscles,Adult Control 2
0.923788811471512,Angle,Muscles,Adult Control 2
0.961151065403095,Orientation,Muscles,Adult Control 2
0.9191305967108836,Distance,Muscles,Adult Control 2
0.9330350761439188,Angle,Muscles,Adult Control 2
0.9434846462374813,Orientation,Muscles,Adult Control 2
0.9262334517737898,Distance,Muscles,Adult Control 2
0.8639285740446041,Angle,Muscles,Adult Control 2
0.9578129101564059,Orientation,Muscles,Adult Control 2
0.821621554442069,Distance,Muscles,Adult Control 2
0.7888330445208958,Angle,Muscles,Adult Control 2
0.9258650740966099,Orientation,Muscles,Adult Control 2
0.972451684112945,Distance,Muscles,Adult Control 2
0.9753894080439323,Angle,Muscles,Adult Control 2
0.9424065062235926,Orientation,Muscles,Adult Control 2
0.9357464714964804,Distance,Muscles,Adult Control 2
0.8827240790270987,Angle,Muscles,Adult Control 2
0.9717897562096378,Orientation,Muscles,Adult Control 2
0.9092915470832814,Distance,Muscles,Adult Control 2
0.9556745458387217,Angle,Muscles,Adult Control 2
0.9132184380639274,Orientation,Muscles,Adult Control 2
0.8703610204482322,Distance,PowerBars,Adult Control 2
0.9551724299708964,Angle,PowerBars,Adult Control 2
0.96489409352758,Orientation,PowerBars,Adult Control 2
0.9516431079394724,Distance,PowerBars,Adult Control 2
0.9715749214906707,Angle,PowerBars,Adult Control 2
0.9235942770802192,Orientation,PowerBars,Adult Control 2
0.9643886384673321,Distance,PowerBars,Adult Control 2
0.9813302715114115,Angle,PowerBars,Adult Control 2
0.9505009207213255,Orientation,PowerBars,Adult Control 2
0.970725462877625,Distance,PowerBars,Adult Control 2
0.9640618172584026,Angle,PowerBars,Adult Control 2
0.9541105080877403,Orientation,PowerBars,Adult Control 2
0.9373528842292407,Distance,PowerBars,Adult Control 2
0.9063022284118205,Angle,PowerBars,Adult Control 2
0.9206375148052246,Orientation,PowerBars,Adult Control 2
0.9757843664403448,Distance,PowerBars,Adult Control 2
0.9370239399578361,Angle,PowerBars,Adult Control 2
0.9407470108373235,Orientation,PowerBars,Adult Control 2
0.9767664330359402,Distance,PowerBars,Adult Control 2
0.9187498882552048,Angle,PowerBars,Adult Control 2
0.9242712456368927,Orientation,PowerBars,Adult Control 2
0.9737689099548013,Distance,PowerBars,Adult Control 2
0.9596340308866441,Angle,PowerBars,Adult Control 2
0.9766804183451803,Orientation,PowerBars,Adult Control 2
0.9325702172085735,Distance,PowerBars,Adult Control 2
0.8811373028543368,Angle,PowerBars,Adult Control 2
0.8514945280749677,Orientation,PowerBars,Adult Control 2
0.9073110499766701,Distance,PowerBars,Adult Control 2
0.8763141430349657,Angle,PowerBars,Adult Control 2
0.951825038473239,Orientation,PowerBars,Adult Control 2
0.9634126915008463,Distance,PowerBars,Adult Control 2
0.9823644766650657,Angle,PowerBars,Adult Control 2
0.9613918380920736,Orientation,PowerBars,Adult Control 2
0.8994799339623138,Distance,PowerBars,Adult Control 2
0.9405410443134945,Angle,PowerBars,Adult Control 2
0.9451902607162876,Orientation,PowerBars,Adult Control 2
0.982424053810321,Distance,PowerBars,Adult Control 2
0.9663060147887675,Angle,PowerBars,Adult Control 2
0.9363696071221496,Orientation,PowerBars,Adult Control 2
0.975623425053512,Distance,PowerBars,Adult Control 2
0.9909089653743188,Angle,PowerBars,Adult Control 2
0.9629806810180396,Orientation,PowerBars,Adult Control 2
0.9265820500246456,Distance,PowerBars,Adult Control 2
0.9299705661303362,Angle,PowerBars,Adult Control 2
0.9374773644772489,Orientation,PowerBars,Adult Control 2
0.9291852265940581,Distance,PowerBars,Adult Control 2
0.965774887698825,Angle,PowerBars,Adult Control 2
0.965607980858032,Orientation,PowerBars,Adult Control 2
